138.0.73.76 r1---sn-0aug5oxujx-4vge.googlevideo.com
177.135.94.14 r3.gvt-cwb3.googlevideo.com
156.200.3.140 r1.sn-uxaxjvhxbt2u-50xe.googlevideo.com
202.163.90.141 r2---sn-jtcxg-2xfl.googlevideo.com
212.188.15.80 r5---sn-jvhnu5g-gv8l.googlevideo.com
186.160.223.208 r5.sn-xouxa2xg0-aphs.googlevideo.com
5.129.177.237 r2.sn-ou3auq-v8ce.googlevideo.com
122.2.215.14 r3.sn-2aqu-hoaey.googlevideo.com
113.171.240.140 r1---sn-8qj-i5olz.googlevideo.com
42.106.161.243 r8---sn-8vq54voxpo-jv3e.googlevideo.com
213.250.29.46 r3.sn-uxax3vhna-aw0l.googlevideo.com
49.44.86.14 r3---sn-gwpa-w5ps.googlevideo.com
49.44.80.204 r1---sn-gwpa-cagl.googlevideo.com
175.96.18.205 r2---sn-ufohvc-u2xk.googlevideo.com
187.60.66.77 r2.sn-j5cvnxg8pjvn-o5us.googlevideo.com
84.235.78.142 r3.sn-nuj-wxqs.googlevideo.com
118.98.109.82 r7.sn-2uuxa3vh-2ahe.googlevideo.com
212.24.165.80 r5---sn-po8puxa-c0qs.googlevideo.com
209.115.217.17 r6.sn-uxa0n-ttjl.googlevideo.com
198.142.189.140 r1.sn-v2u0n-ntqr.googlevideo.com
171.255.204.113 r6---sn-8pxuuxa-8jal.googlevideo.com
114.125.1.178 r7.sn-uxa3vhnxa-2306.googlevideo.com
190.103.183.236 r1.sn-uxaxj5caxqg-nupe.googlevideo.com
114.4.169.237 r2.sn-poqvn5u-jb3k.googlevideo.com
201.174.13.237 r2.sn-ug5onuxajv-ihve.googlevideo.com
177.38.8.77 r2.sn-24v0gcg-m52e.googlevideo.com
203.82.75.172 r1.sn-jxajvh-30ay.googlevideo.com
213.55.140.15 r4.sn-n5au-1gie.googlevideo.com
185.158.210.142 r3---sn-bpb5oxu-3c2l.googlevideo.com
115.67.33.14 r3---sn-qu5j-c33e6.googlevideo.com
